id,smiles,IC50,pIC50,MolecularWeight,LogP,HydrogenBondDonors,HydrogenBondAcceptors,TopologicalPolarSurfaceArea,NumberofRotatableBonds,NumberofValenceElectrons,NumberofAromaticRings,Fractionofsp3Carbons,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusofGyration,InertialShapeFactor,SpherocityIndex
1,OC(=O)C1=CC=C(C=C1)N1C(=O)\C(=C\C2=CC=C(O2)C2=CC=C(C=C2)[N+]([O-])=O)C=C1C1=CC=CC=C1,18.28,4.738,478.46,6.0243,1,5,113.89,6,176,4,0,0.57815736,0.985710607,0.168447617,0.858357906,2413.204289,12296.95626,14326.14085,5.508493383,0.000355692,0.067532747
2,NC(=O)C1=CC2=C(C=C1)N(CC1=CC=C3C=CC=CC3=C1)C(=O)C2=O,0.045,7.347,330.343,2.6682,1,3,80.47,3,122,3,0.05,0.2706792,0.931047964,0.364896818,0.788137793,1660.099671,3585.636338,4549.504378,3.850436781,0.000474753,0.309459336
3,NC(=O)C1=CC2=C(C=C1)N(CC1=CC3=CC=CC=C3S1)C(=O)C2=O,0.053,7.276,336.372,2.7297,1,4,80.47,3,118,3,0.055555556,0.302383743,0.941284448,0.337614557,0.845638041,1488.560875,3728.463948,4409.05419,3.782681666,0.000568091,0.300943247
4,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC1CCCCC1)NC(=O)C1=CC2=CC=CC=C2N1,0.0327,7.486,452.555,2.4466,4,4,120.16,9,176,2,0.52,0.282243845,0.932111432,0.362171615,0.723384202,4013.041065,8015.455622,11080.49581,5.052889771,0.000180258,0.154240716
5,O=C(N[C@@H](CC1CCCCC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NCC1=CC=CC=C1)\C=C\C1=CC=CC=C1,0.18,6.745,572.706,3.0515,4,5,133.47,13,222,2,0.424242424,0.344540132,0.952127895,0.305699969,0.840682515,5013.577013,13787.46144,16400.31901,5.543688782,0.000167681,0.251628615
6,CC(C)(C)OC(=O)NC1=CC=CN([C@@H](CC2CCCCC2)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(=O)C(=O)NC2CC2)C1=O,2.39,5.622,585.702,2.5655,4,8,164.7,11,230,1,0.666666667,0.165537035,0.880530965,0.473988628,0.771827047,7198.839012,11722.34592,15187.78845,5.396112218,0.000107215,0.305193539
7,CC(C)(C)OC(=O)NC1=CC=CN([C@@H](CC2CC2)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(=O)C(=O)NCC2=CC=CC=C2)C1=O,0.67,6.174,593.681,2.433,4,8,164.7,12,230,2,0.483870968,0.380578379,0.959648341,0.281202884,0.873290186,4151.887845,12893.90371,14764.74134,5.175995611,0.000210336,0.241115895
8,FC1=CC=CC(C[C@H](NC(=O)C2=CC3=CC=CC=C3N2)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O)=C1,0.0301,7.521,464.497,1.858,4,4,120.16,9,176,3,0.28,0.293142322,0.937290538,0.348549061,0.758659917,3365.15587,7324.675801,9654.755225,4.679699683,0.000225446,0.177751252
9,CC(C)C[C@H](NC(=O)OC1CCCCC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O,0.82,6.086,395.5,1.6699,3,5,113.6,9,158,0,0.8,0.184191291,0.879308378,0.476252849,0.664863742,3180.555785,4440.154481,6678.29241,4.251719765,0.00020904,0.20560167
10,CC(C)C[C@H](NC(=O)OC1CCC(F)(F)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O,0.43,6.367,431.48,1.9151,3,5,113.6,9,170,0,0.8,0.315061833,0.944059066,0.32977641,0.775784462,2773.541097,6524.633124,8410.368404,4.529977842,0.000279709,0.193580937
